time,gFx,gFy,gFz,TgF
5.005326,0.9797,0.3377,0.0882,1.04
5.019985,1.0226,0.3083,0.0314,1.07
5.037963,1.0344,0.3337,-0.0388,1.09
5.058863,1.0403,0.4041,-0.0877,1.12
5.08598,0.9308,0.4178,-0.0447,1.02
5.102972,0.9054,0.408,-0.0349,0.99
5.121562,0.8917,0.3767,-0.0427,0.97
5.143073,0.9504,0.2946,-0.027,1.0
5.154725,0.9465,0.2849,0.0119,0.99
5.184431,0.9993,0.2732,0.1233,1.04
5.202767,1.0774,0.2595,0.0705,1.11
5.221629,1.1165,0.238,-0.0447,1.14
5.236444,1.1008,0.2145,-0.1287,1.13
5.267851,1.1516,0.152,-0.2557,1.19
5.284184,1.1243,0.1383,-0.2967,1.17
5.302236,1.095,0.0992,-0.2771,1.13
5.321125,1.0461,0.0953,-0.2284,1.07
5.339142,0.8898,0.109,-0.2401,0.93
5.36962,0.8039,0.0972,-0.2517,0.85
5.385099,0.796,0.1188,-0.2771,0.85
5.402404,0.8703,0.0934,-0.3026,0.93
5.42146,0.968,0.0562,-0.3143,1.02
5.452324,0.9876,0.0718,-0.3202,1.04
5.468664,0.9778,0.0816,-0.2869,1.02
5.485291,0.9758,0.1109,-0.3221,1.03
5.501127,0.9485,0.0953,-0.3534,1.02
5.521654,0.8917,0.0133,-0.3553,0.96
5.542786,0.8801,-0.0569,-0.3162,0.94
5.568829,0.9562,-0.0785,-0.3065,1.01
5.58509,0.9993,-0.1117,-0.3065,1.05
5.601609,1.0461,-0.0921,-0.3416,1.1
5.620904,1.009,-0.0823,-0.3749,1.08
5.652448,0.9015,-0.0257,-0.367,0.97
5.667711,0.8859,-0.0511,-0.3162,0.94
5.684563,0.7883,-0.1117,-0.3495,0.87
5.717454,1.0871,-0.1117,-0.2929,1.13
5.737291,1.0286,-0.1449,-0.3045,1.08
5.768056,0.9329,-0.1801,-0.3026,1.0
5.768302,0.9329,-0.1801,-0.3026,1.0
5.800113,0.8761,-0.1645,-0.3436,0.96
5.816705,0.8742,-0.1547,-0.4081,0.98
5.837013,0.925,-0.1703,-0.4159,1.03
5.867095,0.9308,-0.1957,-0.3827,1.03
5.867308,0.9308,-0.1957,-0.3827,1.03
5.89964,0.8879,-0.1684,-0.5039,1.03
5.916377,0.8996,-0.184,-0.5351,1.06
5.936619,0.8859,-0.2153,-0.5039,1.04
5.962698,0.8527,-0.2309,-0.4785,1.0
5.964792,0.8527,-0.2309,-0.4785,1.0
5.99882,0.8253,-0.1742,-0.584,1.03
6.016082,0.7785,-0.1859,-0.582,0.99
6.035953,0.7374,-0.1976,-0.6094,0.98
6.068596,0.7804,-0.2309,-0.5351,0.97
6.07073,0.7823,-0.2367,-0.5332,0.98
6.098559,0.8234,-0.2974,-0.5663,1.04
6.115614,0.8507,-0.3032,-0.5663,1.07
6.135542,0.8547,-0.3091,-0.5605,1.07
6.168496,0.7921,-0.2817,-0.6387,1.06
6.168734,0.7921,-0.2817,-0.6387,1.06
6.196995,0.7667,-0.2563,-0.7344,1.09
6.214776,0.7608,-0.2758,-0.754,1.11
6.234938,0.7452,-0.2524,-0.668,1.03
6.269744,0.796,-0.2387,-0.4081,0.93
6.279887,0.7902,-0.2211,-0.3807,0.9
6.296686,0.7941,-0.1996,-0.3807,0.9
6.31272,0.8195,-0.2153,-0.4589,0.96
6.335269,0.837,-0.2485,-0.5879,1.05
6.352719,0.8214,-0.2485,-0.6133,1.05
6.380419,0.7785,-0.2504,-0.5703,1.0
6.395731,0.7745,-0.2602,-0.5409,0.98
6.413553,0.7629,-0.2583,-0.5214,0.96
6.431882,0.7492,-0.2621,-0.5234,0.95
6.462624,0.7296,-0.2641,-0.5214,0.93
6.479517,0.7471,-0.2544,-0.5312,0.95
6.496169,0.7745,-0.2446,-0.5507,0.98
6.53112,0.8097,-0.2446,-0.6308,1.06
6.546225,0.798,-0.2387,-0.5938,1.02
6.56179,0.7745,-0.2406,-0.5273,0.97
6.578872,0.7569,-0.2446,-0.4394,0.91
6.595729,0.7589,-0.2153,-0.4921,0.93
6.615584,0.7765,-0.1899,-0.539,0.96
6.647268,0.7941,-0.1684,-0.6269,1.03
6.659558,0.7823,-0.1684,-0.6348,1.02
6.678649,0.8039,-0.1859,-0.6562,1.05
6.695005,0.8019,-0.2036,-0.6523,1.05
6.732118,0.7921,-0.2329,-0.6075,1.03
6.763069,0.7667,-0.2797,-0.5175,0.97
6.763282,0.7667,-0.2797,-0.5175,0.97
6.776366,0.7531,-0.3051,-0.5175,0.96
6.811733,0.7374,-0.3482,-0.5409,0.98
6.831382,0.7569,-0.3462,-0.5742,1.01
6.846704,0.7667,-0.3208,-0.5781,1.01
6.860912,0.7589,-0.2817,-0.5684,0.99
6.877516,0.7765,-0.2621,-0.5644,1.0
6.910771,0.7648,-0.2563,-0.5644,0.98
6.927271,0.7648,-0.2641,-0.5723,0.99
6.948152,0.755,-0.2739,-0.5703,0.99
6.977727,0.7629,-0.27,-0.5684,0.99
6.992001,0.7706,-0.27,-0.58,1.0
7.009701,0.7843,-0.266,-0.5977,1.02
7.026515,0.7823,-0.2681,-0.6054,1.02
7.046916,0.7725,-0.27,-0.5957,1.01
7.075756,0.7608,-0.2817,-0.58,1.0
7.091878,0.7648,-0.2797,-0.5761,1.0
7.109573,0.7667,-0.2797,-0.5644,0.99
7.125694,0.7667,-0.2797,-0.5663,0.99
7.146749,0.7629,-0.2797,-0.5742,0.99
7.176851,0.7511,-0.2876,-0.582,0.99
7.191272,0.7531,-0.2856,-0.582,0.99
7.213536,0.755,-0.2856,-0.5781,0.99
7.224561,0.7569,-0.2837,-0.5761,0.99
7.248306,0.7667,-0.2797,-0.5663,0.99
7.264954,0.7648,-0.2797,-0.5723,1.0
7.290597,0.7608,-0.2778,-0.5742,0.99
7.309443,0.7511,-0.2778,-0.5723,0.98
7.329074,0.7471,-0.2739,-0.5761,0.98
7.353561,0.755,-0.2739,-0.58,0.99
7.374458,0.7648,-0.2758,-0.5859,1.0
7.389361,0.7648,-0.2719,-0.5761,1.0
7.410075,0.7629,-0.2778,-0.5644,0.99
7.443989,0.755,-0.2758,-0.5761,0.99
7.455226,0.7511,-0.2797,-0.5781,0.99
7.472325,0.755,-0.2778,-0.584,0.99
7.489461,0.7589,-0.2876,-0.5879,1.0
7.505729,0.7608,-0.2837,-0.5938,1.01
7.525819,0.7629,-0.2817,-0.5859,1.0
7.547092,0.7648,-0.2856,-0.5703,1.0
7.573051,0.7608,-0.2876,-0.5684,0.99
7.590806,0.7608,-0.2817,-0.5625,0.99
7.606174,0.7569,-0.2876,-0.5625,0.99
7.649055,0.7629,-0.2895,-0.582,1.0
7.649267,0.7629,-0.2895,-0.582,1.0
7.671895,0.7648,-0.2876,-0.5742,1.0
7.688281,0.7589,-0.2856,-0.5663,0.99
7.721828,0.7629,-0.2778,-0.5723,0.99
7.741336,0.7667,-0.2856,-0.58,1.0
7.769772,0.7589,-0.2876,-0.5781,1.0
7.769979,0.7589,-0.2876,-0.5781,1.0
7.78771,0.7531,-0.2895,-0.5684,0.99
7.821573,0.7569,-0.2934,-0.5684,0.99
7.841646,0.7569,-0.2856,-0.5703,0.99
7.868661,0.7629,-0.2758,-0.582,1.0
7.868963,0.7629,-0.2758,-0.582,1.0
7.888709,0.7629,-0.2719,-0.5742,0.99
7.921678,0.7608,-0.2817,-0.5781,1.0
7.940961,0.7492,-0.2837,-0.5781,0.99
7.957012,0.7492,-0.2876,-0.5723,0.99
7.969186,0.7492,-0.2837,-0.5761,0.99
8.004799,0.7608,-0.2895,-0.5703,0.99
8.020627,0.7629,-0.2856,-0.5684,0.99
8.039268,0.7648,-0.2837,-0.5723,1.0
8.052436,0.7648,-0.2797,-0.5723,1.0
8.069563,0.7629,-0.2856,-0.5723,1.0
8.102629,0.7569,-0.2876,-0.5761,0.99
8.120807,0.755,-0.2856,-0.5781,0.99
8.139398,0.7589,-0.2895,-0.584,1.0
8.157722,0.7667,-0.2837,-0.5781,1.0
8.170933,0.7608,-0.2837,-0.5859,1.0
8.202794,0.7569,-0.2778,-0.5723,0.99
8.219829,0.7511,-0.2817,-0.5723,0.99
8.238501,0.7492,-0.2876,-0.5781,0.99
8.260342,0.7471,-0.2856,-0.5742,0.98
8.285291,0.7589,-0.2934,-0.5761,1.0
8.301511,0.7629,-0.2934,-0.5879,1.01
8.31782,0.755,-0.2934,-0.5879,1.0
8.340084,0.755,-0.2895,-0.58,1.0
8.370184,0.7531,-0.2876,-0.5742,0.99
8.383314,0.7531,-0.2876,-0.5703,0.99
8.401146,0.7531,-0.2837,-0.5761,0.99
8.417547,0.7531,-0.2895,-0.582,0.99
8.437136,0.755,-0.2856,-0.5859,1.0
8.466544,0.755,-0.2895,-0.5781,0.99
8.484385,0.7569,-0.2856,-0.5742,0.99
8.500649,0.755,-0.2856,-0.58,0.99
8.516471,0.7511,-0.2876,-0.582,0.99
8.536937,0.7452,-0.2914,-0.5859,0.99
8.566081,0.755,-0.2895,-0.5879,1.0
8.586182,0.7531,-0.2895,-0.584,1.0
8.601005,0.7569,-0.2914,-0.584,1.0
8.616595,0.755,-0.2876,-0.584,1.0
8.648063,0.7492,-0.2817,-0.582,0.99
8.667845,0.7492,-0.2856,-0.5879,0.99
8.684042,0.7471,-0.2797,-0.5859,0.99
8.70156,0.7531,-0.2817,-0.582,0.99
8.736655,0.7531,-0.2895,-0.584,1.0
8.757047,0.7492,-0.2934,-0.5761,0.99
8.765248,0.7492,-0.2895,-0.58,0.99
8.783789,0.7471,-0.2934,-0.582,0.99
8.816876,0.7492,-0.2914,-0.582,0.99
8.832368,0.7511,-0.2974,-0.584,1.0
8.851045,0.7569,-0.2934,-0.582,1.0
8.879885,0.7471,-0.2895,-0.584,0.99
8.897067,0.7492,-0.2895,-0.58,0.99
8.915577,0.7531,-0.2876,-0.5859,1.0
8.932404,0.7492,-0.2856,-0.5879,0.99
8.952609,0.7492,-0.2914,-0.5879,1.0
8.987324,0.7471,-0.2914,-0.5879,0.99
8.987541,0.7471,-0.2914,-0.5879,0.99
9.015054,0.7452,-0.2895,-0.58,0.99
9.032559,0.7511,-0.2895,-0.5781,0.99
9.052388,0.755,-0.2895,-0.5898,1.0
9.081118,0.7452,-0.2876,-0.5879,0.99
9.096345,0.7471,-0.2856,-0.5879,0.99
9.115084,0.7452,-0.2876,-0.5859,0.99
9.130972,0.7471,-0.2876,-0.5859,0.99
9.15423,0.7492,-0.2934,-0.584,0.99
9.170922,0.7471,-0.2954,-0.5879,1.0
9.19557,0.7471,-0.2993,-0.582,0.99
9.213602,0.7471,-0.2914,-0.584,0.99
9.235248,0.7531,-0.2876,-0.5879,1.0
9.271363,0.7471,-0.2895,-0.58,0.99
9.271571,0.7471,-0.2895,-0.58,0.99
9.295112,0.7471,-0.2856,-0.582,0.99
9.312198,0.7511,-0.2876,-0.58,0.99
9.331227,0.7511,-0.2895,-0.5879,1.0
9.363303,0.7471,-0.2856,-0.5879,0.99
9.378866,0.7492,-0.2934,-0.5879,1.0
9.395416,0.7452,-0.2895,-0.5859,0.99
9.411638,0.7492,-0.2914,-0.582,0.99
9.434077,0.7589,-0.2934,-0.582,1.0
9.451706,0.7667,-0.2934,-0.582,1.01
9.479109,0.7511,-0.2817,-0.582,0.99
9.495664,0.7569,-0.2797,-0.58,0.99
9.511233,0.7511,-0.2856,-0.582,0.99
9.531738,0.7569,-0.2856,-0.5723,0.99
9.549571,0.7531,-0.2934,-0.5742,0.99
9.578423,0.7531,-0.2954,-0.5761,0.99
9.595029,0.7492,-0.2914,-0.5761,0.99
9.612025,0.7608,-0.2934,-0.5781,1.0
9.631817,0.7589,-0.2914,-0.582,1.0
9.665329,0.7569,-0.2895,-0.5742,0.99
9.677148,0.755,-0.2876,-0.5723,0.99
9.694521,0.7511,-0.2856,-0.5761,0.99
9.710989,0.755,-0.2797,-0.5781,0.99
9.747324,0.7667,-0.2914,-0.58,1.0
9.771158,0.7648,-0.2856,-0.584,1.0
9.775435,0.7629,-0.2797,-0.5879,1.0
9.794256,0.7569,-0.2739,-0.5742,0.99
9.826908,0.755,-0.2797,-0.5723,0.99
9.847111,0.7589,-0.2817,-0.5703,0.99
9.865084,0.7629,-0.2914,-0.5761,1.0
9.87511,0.7589,-0.2914,-0.5723,0.99
9.893887,0.7569,-0.2954,-0.58,1.0
9.926801,0.7531,-0.2876,-0.5684,0.99
9.947359,0.7569,-0.2758,-0.5703,0.99
9.977544,0.7608,-0.2797,-0.5663,0.99
9.977785,0.7608,-0.2797,-0.5663,0.99
10.008953,0.7608,-0.2876,-0.5586,0.99
10.026127,0.755,-0.2876,-0.5625,0.98
10.046699,0.755,-0.2778,-0.5663,0.98
10.075036,0.7629,-0.2837,-0.5723,0.99
10.091492,0.7687,-0.2895,-0.5761,1.0
10.107799,0.7608,-0.2856,-0.5742,1.0
10.125349,0.7608,-0.2876,-0.5723,0.99
10.146399,0.7589,-0.2914,-0.5742,1.0
10.182922,0.7511,-0.2895,-0.5723,0.99
10.183146,0.7511,-0.2895,-0.5723,0.99
10.207867,0.755,-0.2895,-0.5625,0.98
10.225351,0.755,-0.2856,-0.5684,0.99
10.245804,0.7511,-0.2876,-0.5781,0.99
10.282187,0.7569,-0.2817,-0.5781,0.99
10.282426,0.7569,-0.2817,-0.5781,0.99
10.307068,0.7725,-0.2837,-0.582,1.01
10.325685,0.7687,-0.2993,-0.5761,1.01
10.345846,0.7589,-0.2974,-0.5742,1.0
10.379747,0.7531,-0.2914,-0.5684,0.99
10.388293,0.7531,-0.2914,-0.5684,0.99
10.40686,0.7511,-0.2934,-0.5723,0.99
10.423677,0.7608,-0.2974,-0.5781,1.0
10.444749,0.7589,-0.2993,-0.5761,1.0
10.4751,0.7492,-0.2974,-0.5684,0.99
10.489397,0.7471,-0.2914,-0.5742,0.99
10.50567,0.7511,-0.2856,-0.5684,0.98
10.5441,0.7608,-0.2954,-0.5859,1.0
10.566635,0.7511,-0.2993,-0.584,1.0
10.566879,0.7511,-0.2993,-0.584,1.0
10.590048,0.7492,-0.2934,-0.5879,1.0
10.625353,0.755,-0.2993,-0.5917,1.0
10.661395,0.755,-0.2954,-0.58,1.0
10.661612,0.755,-0.2954,-0.58,1.0
10.670298,0.7511,-0.2954,-0.5781,0.99
10.689286,0.7531,-0.3071,-0.5742,1.0
10.721337,0.755,-0.2974,-0.5781,1.0
10.741344,0.7589,-0.2993,-0.58,1.0
10.775143,0.7531,-0.2974,-0.5761,0.99
10.775341,0.7531,-0.2974,-0.5761,0.99
10.804926,0.7471,-0.2914,-0.582,0.99
10.821878,0.7471,-0.2914,-0.5742,0.99
10.841791,0.7471,-0.2974,-0.5781,0.99
10.864367,0.7471,-0.2974,-0.5781,0.99
10.886986,0.7433,-0.3012,-0.582,0.99
10.904727,0.7531,-0.2974,-0.5879,1.0
10.920922,0.755,-0.2954,-0.582,1.0
10.938095,0.755,-0.2934,-0.584,1.0
10.958229,0.7452,-0.2895,-0.582,0.99
10.987766,0.7413,-0.2974,-0.5859,0.99
11.00174,0.7511,-0.3032,-0.58,1.0
11.020658,0.7374,-0.2914,-0.582,0.98
11.03713,0.7471,-0.2895,-0.5859,0.99
11.063244,0.7492,-0.2914,-0.5898,1.0
11.081103,0.7492,-0.2954,-0.5879,1.0
11.102786,0.7452,-0.2993,-0.582,0.99
11.120402,0.7433,-0.2954,-0.582,0.99
11.136941,0.7452,-0.2993,-0.584,0.99
11.157157,0.7433,-0.2974,-0.5917,1.0
11.188784,0.7394,-0.3012,-0.584,0.99
11.201203,0.7413,-0.3051,-0.5781,0.99
11.219687,0.7531,-0.3032,-0.584,1.0
11.256754,0.7511,-0.2954,-0.58,0.99
11.289738,0.7374,-0.2934,-0.5879,0.99
11.290119,0.7394,-0.2954,-0.5879,0.99
11.300671,0.7433,-0.2934,-0.5898,0.99
11.33972,0.7471,-0.3091,-0.5898,1.0
11.37195,0.7511,-0.3032,-0.582,1.0
11.372179,0.7511,-0.3032,-0.582,1.0
11.383755,0.7511,-0.3071,-0.5859,1.0
11.400925,0.7433,-0.2974,-0.584,0.99
11.439105,0.7394,-0.3012,-0.584,0.99
11.471861,0.7492,-0.2993,-0.58,0.99
11.472072,0.7492,-0.2993,-0.58,0.99
11.482582,0.755,-0.3071,-0.582,1.0
11.501832,0.7492,-0.2974,-0.584,1.0
11.538236,0.7531,-0.2993,-0.5879,1.0
11.568039,0.7589,-0.2954,-0.584,1.0
11.56827,0.7589,-0.2954,-0.584,1.0
11.608092,0.7471,-0.2954,-0.5781,0.99
11.608903,0.7471,-0.2954,-0.5781,0.99
11.634389,0.7511,-0.2993,-0.5723,0.99
11.662775,0.7608,-0.2817,-0.5644,0.99
11.66673,0.7629,-0.2817,-0.5605,0.99
11.69988,0.7569,-0.2954,-0.5703,0.99
11.716879,0.7471,-0.2993,-0.582,0.99
11.73205,0.7531,-0.2974,-0.5938,1.0
11.752529,0.7531,-0.2954,-0.5723,0.99
11.784604,0.755,-0.2895,-0.5742,0.99
11.798605,0.7511,-0.2895,-0.5723,0.99
11.816157,0.755,-0.2895,-0.5723,0.99
11.833174,0.7608,-0.2876,-0.5742,1.0
11.8526,0.7608,-0.2837,-0.58,1.0
11.886125,0.7667,-0.2837,-0.5663,0.99
11.897402,0.7648,-0.2876,-0.5663,0.99
11.9155,0.7648,-0.2837,-0.5723,1.0
11.931999,0.7589,-0.2817,-0.5703,0.99
11.952642,0.7629,-0.2837,-0.5742,1.0
11.987303,0.7745,-0.2934,-0.5761,1.01
11.996482,0.7687,-0.2993,-0.5703,1.0
12.015157,0.755,-0.2914,-0.5625,0.99
12.032037,0.7452,-0.2895,-0.5586,0.98
12.052461,0.7433,-0.2876,-0.5586,0.97
12.084546,0.7667,-0.2934,-0.5684,1.0
12.096053,0.7745,-0.2934,-0.5723,1.01
12.113755,0.7765,-0.2993,-0.5761,1.01
12.135368,0.7725,-0.2837,-0.5663,1.0
12.157673,0.7687,-0.2837,-0.5703,1.0
12.179705,0.7667,-0.2837,-0.5605,0.99
12.196306,0.7608,-0.2837,-0.5547,0.98
12.212727,0.7648,-0.2817,-0.5625,0.99
12.235135,0.7629,-0.2856,-0.5684,0.99
12.26055,0.7648,-0.2797,-0.5703,0.99
12.279489,0.7687,-0.2856,-0.5488,0.99
12.295611,0.7687,-0.2876,-0.5586,0.99
12.312498,0.7687,-0.2954,-0.5625,1.0
12.333393,0.7608,-0.2837,-0.5625,0.99
12.361495,0.7725,-0.2934,-0.543,0.99
12.37887,0.7706,-0.2856,-0.5409,0.98
12.395085,0.7765,-0.2837,-0.5488,0.99
12.434328,0.7883,-0.2895,-0.5507,1.0
12.455689,0.7725,-0.2837,-0.5507,0.99
12.456033,0.7725,-0.2856,-0.5527,0.99
12.478988,0.7687,-0.2856,-0.5547,0.99
12.49542,0.7706,-0.2914,-0.5547,0.99
12.531104,0.7862,-0.2876,-0.5547,1.0
12.571596,0.7823,-0.2778,-0.5761,1.01
12.571942,0.7765,-0.2837,-0.5605,1.0
12.577061,0.7667,-0.2758,-0.5644,0.99
12.611366,0.7785,-0.2797,-0.539,0.99
12.62722,0.7785,-0.2856,-0.5527,1.0
12.646508,0.7823,-0.2876,-0.5488,1.0
12.665644,0.7785,-0.2876,-0.543,0.99
12.67691,0.7823,-0.2856,-0.537,0.99
12.710694,0.7765,-0.2778,-0.539,0.99
12.726176,0.7725,-0.2837,-0.543,0.99
12.746954,0.7785,-0.2895,-0.543,0.99
12.762875,0.7785,-0.2954,-0.5468,1.0
12.795306,0.7862,-0.2934,-0.5507,1.0
12.810613,0.7823,-0.2895,-0.5605,1.01
12.826048,0.7843,-0.2934,-0.5527,1.0
12.845905,0.7804,-0.2876,-0.5488,1.0
12.871626,0.7745,-0.2856,-0.5488,0.99
12.893085,0.7725,-0.2797,-0.5488,0.99
12.908933,0.7785,-0.2856,-0.5449,0.99
12.926564,0.7765,-0.2837,-0.5488,0.99
12.942693,0.7823,-0.2895,-0.543,1.0
12.963427,0.7765,-0.2876,-0.543,0.99
12.997168,0.7687,-0.2817,-0.5409,0.98
13.007051,0.7608,-0.2797,-0.5468,0.98
13.025872,0.7745,-0.2837,-0.5527,0.99
13.06314,0.7765,-0.2914,-0.5723,1.01
13.064253,0.7804,-0.2954,-0.5781,1.02
13.094463,0.7765,-0.2934,-0.5644,1.0
13.109007,0.7725,-0.2876,-0.5547,0.99
13.124919,0.7629,-0.2837,-0.5409,0.98
13.163647,0.7706,-0.2817,-0.5488,0.99
13.19285,0.7765,-0.2876,-0.5644,1.0
13.193064,0.7765,-0.2876,-0.5644,1.0
